Title,Author,Cover URL,Number of Ratings,Average Rating,Description,Publication_year,Genres
A Tale of Two Cities,Charles Dickens,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,967991,3.87,"A Tale of Two Citiesis Charles Dickens’s great historical novel, set against the violent upheaval of the French Revolution. The most famous and perhaps the most popular of his works, it compresses an event of immense complexity to the scale of a family history, with a cast of characters that includes a bloodthirsty ogress and an antihero as believably flawed as any in modern fiction. Though the least typical of the author’s novels,A Tale of Two Citiesstill underscores many of his enduring themes—imprisonment, injustice, social anarchy, resurrection, and the renunciation that fosters renewal.",1859,"Classics, Fiction, Historical Fiction, Literature, Historical, School, Novels"
The Lord of the Rings,J.R.R. Tolkien,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,692117,4.53,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.The Lord of the Ringstells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.",1954,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy"
The Little Prince,Antoine de Saint-Exupéry,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,2199386,4.33,"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike asThe Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.",1943,"Fiction, Fantasy, Childrens, France, Philosophy, Young Adult, Literature"
The Hobbit,J.R.R. Tolkien,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347244628i/838638.jpg,4151498,4.29,"This is the prelude to ""The Lord of the Rings"".Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life. But his contentment is disturbed when the wizard, Gandalf, and a company of dwarves arrive on his doorstep to take him on an adventure.",1937,"Fantasy, Fiction, Novels, Literature, Magic, Young Adult, Childrens"
Dream of the Red Chamber,Cao Xueqin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1645905884i/535739.jpg,5543,4.18,"For more than a century and a half,Dream of the Red Chamberhas been recognized in China as the greatest of its novels, a Chinese Romeo-and-Juliet love story and a portrait of one of the world's great civilizations. Chi-chen Wang's translation is skillful and accurate.",1761,"Fiction, China, Historical Fiction, Literature, Chinese Literature, Asia, Classics"
And Then There Were None,Agatha Christie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299.jpg,1434217,4.28,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.""When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion.",1939,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,2892022,4.24,"Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.",1950,"Fantasy, Fiction, Young Adult, Childrens, Classics, Middle Grade, Adventure"
She,H. Rider Haggard,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388347922i/682681.jpg,13496,3.57,"On his twenty-fifth birthday, Leo Vincey opens the silver casket that his father has left to him. It contains a letter recounting the legend of a white sorceress who rules an African tribe and of his father’s quest to find this remote race. To find out for himself if the story is true, Leo and his companions set sail for Zanzibar. There, he is brought face to face with Ayesha, She-who-must-be-obeyed: dictator, femme fatale, tyrant and beauty. She has been waiting for centuries for the true descendant of Kallikrates, her murdered lover, to arrive, and arrive he does – in an unexpected form. Blending breathtaking adventure with a brooding sense of mystery and menace, She is a story of romance, exploration discovery and heroism that has lost none of its power to enthrall.",1887,"Classics, Fantasy, Fiction, Adventure, Africa, 19th Century, Historical Fiction"
The Da Vinci Code,Dan       Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,2403818,3.92,"Alternate covers for 9780307277671 can be found:The da Vinci Code,The da Vinci Code,The da Vinci Code, andThe da Vinci CodeWhile in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci -- clues visible for all to see -- yet ingeniously disguised by the painter.Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion -- an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others.In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless powerbroker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret -- and an explosive historical truth -- will be lost forever.The Da Vinci Code heralds the arrival of a new breed of lightning-paced, intelligent thriller utterly unpredictable right up to its stunning conclusion.",2003,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure"
Think and Grow Rich,Napoleon Hill,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388177008i/1005.jpg,344535,4.18,"Think and Grow Richhas been called the ""Granddaddy of All Motivational Literature."" It was the first book to boldly ask, ""What makes a winner?"" The man who asked and listened for the answer, Napoleon Hill, is now counted in the top ranks of the world's winners himself. The most famous of all teachers of success spent ""a fortune and the better part of a lifetime of effort"" to produce the ""Law of Success"" philosophy that forms the basis of his books and that is so powerfully summarized in this one.In the originalThink and Grow Rich, published in 1937, Hill draws on stories of Andrew Carnegie, Thomas Edison, Henry Ford, and other millionaires of his generation to illustrate his principles. In the updated version, Arthur R. Pell, Ph.D., a nationally known author, lecturer, and consultant in human resources management and an expert in applying Hill's thought, deftly interweaves anecdotes of how contemporary millionaires and billionaires, such as Bill Gates, Mary Kay Ash, Dave Thomas, and Sir John Templeton, achieved their wealth. Outmoded or arcane terminology and examples are faithfully refreshed to preclude any stumbling blocks to a new generation of readers.",1937,"Business, Self Help, Nonfiction, Finance, Personal Development, Psychology, Personal Finance"
